City_ID,City,Country,Max Temp,Current Weather Description,Lat,Lng,Hotel Name
690,Daru,PG,77.76,overcast clouds,-9.0763,143.2092,Daru Lodge
691,Kathua,IN,50.86,light rain,32.3667,75.5167,Avalon Residency
694,Santa Engracia,ES,59.61,overcast clouds,41.9406,-1.3245,Casa rural Santa Engracia
695,Marsh Harbour,BS,74.01,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
698,Tessalit,ML,79.74,few clouds,20.1986,1.0114,
699,Fort Pierce,US,79.02,few clouds,27.4467,-80.3256,Hutchinson Island Plaza Hotel & Suites
700,Bloomsburg,US,41.09,moderate rain,41.0037,-76.4549,Hampton Inn Bloomsburg
701,Manta,EC,82.18,overcast clouds,-0.95,-80.7333,Balandra Hotel
703,Parauna,BR,84.34,scattered clouds,-16.9478,-50.4486,Hotel Serras de Paraúna
704,Posse,BR,85.69,overcast clouds,-14.0931,-46.3694,Pousada das Palmeiras
